NAME,DP03_0062E,DP03_0119PE,DP03_0009PE,DP05_0001E,DP05_0018E,DP05_0019E,DP05_0077PE,DP05_0003PE
"San Diego County, California",102285,6.9,6.2,3282782,37.1,694169,29.6,49.4
"San Francisco County, California",141446,5.7,5.6,836321,39.7,114728,7.8,48.6
"San Joaquin County, California",88531,9.7,7.4,787416,35.2,208930,37.0,49.9
"San Luis Obispo County, California",93398,6.3,5.1,281486,40.2,49564,20.8,49.5
"San Mateo County, California",156000,3.8,4.5,745100,40.6,148064,14.5,50.2
"Santa Barbara County, California",95977,7.6,6.1,443975,34.5,99608,42.6,49.8
"Santa Clara County, California",159674,4.2,4.5,1903297,37.9,398753,20.1,49.0
"Santa Cruz County, California",109266,5.8,5.6,266021,39.6,49902,30.5,50.1
"Shasta County, California",71931,7.8,6.2,181554,41.7,39404,8.1,50.6
"Sierra County, California",60000,9.1,12.2,2731,56.0,349,8.3,50.5
"Siskiyou County, California",55499,11.6,7.7,43834,47.4,8827,10.2,50.0
"Solano County, California",99994,7.1,5.9,450824,39.1,99424,21.8,50.1
"Sonoma County, California",102840,4.8,5.2,485642,42.7,93938,23.7,50.8
"Stanislaus County, California",79661,10.5,7.8,552250,34.8,148315,45.4,50.2
"Sutter County, California",75450,12.0,7.0,98971,36.4,25168,28.9,49.8
"Tehama County, California",61834,10.5,6.7,65520,40.1,15783,25.2,50.1
"Trinity County, California",53498,6.9,5.9,15886,54.8,2912,2.6,51.1
"Tulare County, California",69489,14.7,8.8,475774,31.9,143115,62.1,49.9
"Tuolumne County, California",72259,7.2,7.9,54873,48.8,9428,8.4,48.5
"Ventura County, California",107327,6.3,5.5,838259,39.4,185795,38.2,50.3
"Yolo County, California",88818,7.3,5.3,217782,32.3,44638,28.4,51.3
"Yuba County, California",73313,11.8,7.3,83079,33.9,22640,25.7,49.2
"Adams County, Colorado",91387,7.0,4.6,524408,34.6,133000,34.4,49.2
"Alamosa County, Colorado",51445,13.4,2.5,16515,33.1,3902,31.3,50.6
"Arapahoe County, Colorado",97215,5.7,4.7,655709,37.3,150051,14.9,50.1
"Archuleta County, Colorado",76524,4.8,1.8,13730,52.2,2366,4.8,50.0
"Baca County, Colorado",40380,20.1,1.3,3460,43.0,772,9.6,49.9
"Bent County, Colorado",49194,23.6,4.6,5524,41.7,894,20.8,37.8
"Boulder County, Colorado",102772,4.3,4.6,328317,37.5,59132,9.8,49.5
"Broomfield County, Colorado",121025,2.1,3.3,75110,38.8,15845,9.7,49.6
"Chaffee County, Colorado",70909,7.1,5.2,19876,47.6,2895,5.4,47.7
"Cheyenne County, Colorado",67768,9.6,1.9,1732,43.0,395,11.2,48.5
"Clear Creek County, Colorado",96667,3.4,4.2,9358,49.2,1327,2.6,48.4
"Conejos County, Colorado",47209,11.9,4.6,7536,38.8,1914,22.2,49.8
"Costilla County, Colorado",36519,21.1,4.5,3571,50.7,670,31.5,49.6
"Crowley County, Colorado",47563,16.8,5.6,5734,39.6,774,13.6,30.5
"Custer County, Colorado",72700,5.5,5.6,5073,58.6,731,1.3,49.6
"Delta County, Colorado",58330,10.8,3.2,31353,48.4,6051,10.3,50.3
"Denver County, Colorado",91681,7.7,4.6,713734,35.2,130820,20.9,49.6
"Dolores County, Colorado",70490,9.3,2.5,2385,57.2,335,11.3,46.2
"Douglas County, Colorado",145737,2.1,3.6,368283,39.5,88460,5.5,49.7
"Eagle County, Colorado",103174,4.6,4.2,55374,39.3,11520,22.5,46.2
"Elbert County, Colorado",129477,4.0,3.0,27152,44.8,5728,6.1,49.1
"El Paso County, Colorado",87470,5.5,5.5,736008,35.0,172420,11.1,49.2
